Session #	Date	Filename	Duration	Teachers	Session title	Remote mp3 URL
39	03/03/2016	2016-03-03 Kondanno Reading The Skill Of Restraint Two Analogies by Ajahn Thanissaro.mp3			The Skill Of Restraint; Two Analogies	DVD/Audio/MP3/2016-03-03%20Kondanno%20Reading%20The%20Skill%20Of%20Restraint%20Two%20Analogies%20by%20Ajahn%20Thanissaro.mp3
40	04/03/2016	2016-03-04 Jagaro Reading Trusting In Wholesome Intentions by Ajahn Sumedho.mp3			Trusting In Wholesome Intentions	DVD/Audio/MP3/2016-03-04%20Jagaro%20Reading%20Trusting%20In%20Wholesome%20Intentions%20by%20Ajahn%20Sumedho.mp3
41	06/03/2016	2016-03-06 Armand Reading Realizing Cessation by Ajahn Amaro.mp3			Realizing Cessation	DVD/Audio/MP3/2016-03-06%20Armand%20Reading%20Realizing%20Cessation%20by%20Ajahn%20Amaro.mp3
42	09/03/2016	2016-03-09 Debbie Reading Awareness Nameless And Stopped by Ajahn Sucitto.mp3			Awareness: Nameless And Stopped	DVD/Audio/MP3/2016-03-09%20Debbie%20Reading%20Awareness%20Nameless%20And%20Stopped%20by%20Ajahn%20Sucitto.mp3
43	10/03/2016	2016-03-10 Beth Reading Rebirth by Ajahn Pannavaddho.mp3			Rebirth	DVD/Audio/MP3/2016-03-10%20Beth%20Reading%20Rebirth%20by%20Ajahn%20Pannavaddho.mp3
44	11/03/2016	2016-03-11 AJ Reading Relating to Hindrances by Ajahn Tiradhammo.mp3			Relating to Hindrances	DVD/Audio/MP3/2016-03-11%20AJ%20Reading%20Relating%20to%20Hindrances%20by%20Ajahn%20Tiradhammo.mp3
45	13/03/2016	2016-03-13 AN Reading Daughters And Sons by Ajahn Jayasaro.mp3			Daughters And Sons	DVD/Audio/MP3/2016-03-13%20AN%20Reading%20Daughters%20And%20Sons%20by%20Ajahn%20Jayasaro.mp3
46	14/03/2016	2016-03-14 Jivako Reading The Gate Of Relativity by Ajahn Sucitto.mp3			The Gate Of Relativity	DVD/Audio/MP3/2016-03-14%20Jivako%20Reading%20The%20Gate%20Of%20Relativity%20by%20Ajahn%20Sucitto.mp3
47	17/03/2016	2016-03-17 Kassapo Reading Santutthi and the Meaning of Contentment by Ajahn Amaro.mp3			Santutthi and the Meaning of Contentment	DVD/Audio/MP3/2016-03-17%20Kassapo%20Reading%20Santutthi%20and%20the%20Meaning%20of%20Contentment%20by%20Ajahn%20Amaro.mp3
48	18/03/2016	2016-03-18 Kaccana Reading Prayer and Devotion by Ajahn Munindo.mp3			Prayer and Devotion	DVD/Audio/MP3/2016-03-18%20Kaccana%20Reading%20Prayer%20and%20Devotion%20by%20Ajahn%20Munindo.mp3
49	19/03/2016	2016-03-19 Pesalo Reading The Treasure House by Ajahn Sucitto.mp3			The Treasure House	DVD/Audio/MP3/2016-03-19%20Pesalo%20Reading%20The%20Treasure%20House%20by%20Ajahn%20Sucitto.mp3
50	20/03/2016	2016-03-20 Suhajjo Reading Basic Premises by Ajahn Thanissaro.mp3			Basic Premises	DVD/Audio/MP3/2016-03-20%20Suhajjo%20Reading%20Basic%20Premises%20by%20Ajahn%20Thanissaro.mp3
51	21/03/2016	2016-03-21 Khantiko Reading The First Noble Truth by Ajahn Sumedho.mp3			The First Noble Truth	DVD/Audio/MP3/2016-03-21%20Khantiko%20Reading%20The%20First%20Noble%20Truth%20by%20Ajahn%20Sumedho.mp3
52	24/03/2016	2016-03-24 Gambhiro Reading Recollection of Hell Pissing on Palaces by Ajahn Thanissaro.mp3			Recollection of Hell; Pissing on Palaces	DVD/Audio/MP3/2016-03-24%20Gambhiro%20Reading%20Recollection%20of%20Hell%20Pissing%20on%20Palaces%20by%20Ajahn%20Thanissaro.mp3
53	25/03/2016	2016-03-25 Kondanno Reading Ancient Teachings on Non Abiding Is the Sound Annoying You by Ajahn Amaro.mp3			Ancient Teachings on Non Abiding; Is the Sound Annoying You?	DVD/Audio/MP3/2016-03-25%20Kondanno%20Reading%20Ancient%20Teachings%20on%20Non%20Abiding%20Is%20the%20Sound%20Annoying%20You%20by%20Ajahn%20Amaro.mp3
54	26/03/2016	2016-03-26 Jagaro Reading The Second Noble Truth by Ajahn Sumedho.mp3			The Second Noble Truth	DVD/Audio/MP3/2016-03-26%20Jagaro%20Reading%20The%20Second%20Noble%20Truth%20by%20Ajahn%20Sumedho.mp3
55	27/03/2016	2016-03-27 Armand Reading Sense the Sacred by Ajahn Sumedho.mp3			Sense the Sacred	DVD/Audio/MP3/2016-03-27%20Armand%20Reading%20Sense%20the%20Sacred%20by%20Ajahn%20Sumedho.mp3
56	28/03/2016	2016-03-28 Debbie Reading Working with Perception by Ajahn Sucitto.mp3			Working with Perception	DVD/Audio/MP3/2016-03-28%20Debbie%20Reading%20Working%20with%20Perception%20by%20Ajahn%20Sucitto.mp3
57	29/03/2016	2016-03-29 Beth Reading Parting Words by Ajahn Viradhammo.mp3			Parting Words	DVD/Audio/MP3/2016-03-29%20Beth%20Reading%20Parting%20Words%20by%20Ajahn%20Viradhammo.mp3
