Modified:,2025,,,,,,,,,,,,,,
Kind,Category,Default form,Can be excerpt?,Can be annotation?,Takes times?,Takes teachers?,Takes tags?,Ignore consent?,Append to excerpt?,Inherit teachers from:,Form 1,Form 2,Form 3,Exclude?,Usage notes
Commentary,References,1,No,Yes,No,No,Yes,,No,,++Commentary:++ {text},unimplemented,unimplemented,,
,,,,,,,,,,,,,,,
Read by,Attribution,1,No,Yes,No,Yes,No,Yes,Yes,Session unless text,{'Read by ' if text else ''}{text}{'.' if text else ''}||{'' if text else 'Read by ' + teachers + '.'},unimplemented,unimplemented,,"If the reader is not a teacher, {teachers} should be empty and {text} specifies the name of the reader."
Translated by,Attribution,1,No,Yes,No,Yes,No,Yes,Yes,None,{'Translated by ' if text else ''}{text}{'.' if text else ''}||{'' if text else 'Translated by ' + teachers + '.'},unimplemented,unimplemented,,
Asked by,Attribution,1,No,Yes,No,Yes,No,No,Yes,None,{'Asked by ' if text else ''}{text}{'.' if text else ''}||{'' if text else 'Asked by ' + teachers + '.'},unimplemented,unimplemented,Yes,
,,,,,,,,,,,,,,,
Extra tags,Other,0,No,Yes,No,No,Yes,,No,,unimplemented,unimplemented,unimplemented,,
,,,,,,,,,,,,,,,
Fragment,Fragment,0,No,Yes,Yes,No,No,,,,unimplemented,unimplemented,unimplemented,,A fragment annotation indicates that the next annotation and its sub-annotations should be duplicated in a separate except following the main excerpt. The Fragment annotation itself is rendered as an audio player to play that excerpt unless text == 'noPlayer'.
Main fragment,Fragment,1,No,Yes,Yes,No,Yes,,,,,unimplemented,unimplemented,,"A main fragment annotation indicates a fragment should be created from the excerpt and any annotations preceding this annotation. If tags are applied to the main fragment annotation, the fragment excerpt tags are replaced by these tags. Main fragments do not display a separate audio player."
,,,,,,,,,,,,,,,
Alternate audio,Audio,1,No,Yes,Yes,No,No,,No,,,unimplemented,unimplemented,,Specifes an audio file which is treated as if it were the session audio file for this excerpt. Text has the format: filename.mp3|url. End time specifies the duration of the file.
Edited audio,Audio,1,No,Yes,Yes,No,No,,No,,,unimplemented,unimplemented,,"Specifes a replacedment audio file for this excerpt, which is otherwise treated as if it were taken from the session audio file. End time specifies the duration of the excerpt; if blank, use the duration specified by the excerpt start and end times."
Append audio,Audio,1,No,Yes,Yes,No,No,,No,,,unimplemented,unimplemented,,"Append audio after the audio already present in an excerpt. Text specifies the source file and can be one of: <blank>: same source as previous clip; ""$"": session audio file; ""duration|filename|URL"": an audio source within the current event folder. URL [optional] indicates the remote URL to download from. Duration [optional] indicates the file's duration. Start and end time specify times in the source file."
Cut audio,Audio,1,No,Yes,Yes,No,No,,No,,,unimplemented,unimplemented,,Cut the audio between start and end time.
