Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Western Disciples of the Thai Forest Tradition,,,,,,,,,,,,,,,,,,
Subtitle,Abhayagiri Winter Retreat 2016,,,,,,,,,,,,,,,,,,
Code,WR2016,,,,,,,,,,,,,,,,,,
Series,Abhayagiri Winter Retreats,,,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AP;AbhSangha,,,,,,,,,,,,,,,,,,
Start date,05/01/2016,,,,,,,,,,,,,,,,,,
End date,29/03/2016,,,,,,,,,,,,,,,,,,
Format,Multiday event,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,
Tags,Thai Forest Tradition;Western Ajahn Chah lineage,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/media/discs/winter-retreat-2016/index.html,,,,,,,,,,,,,,,,,,
Description,"During the Winter Retreat 2016 teaching sessions, Abhayagiri monastics took turns reading from senior Western disciples of the Thai Forest Tradition. Ajahn Pasanno and other teachers responded to questions after the readings.",,,,,,,,,,,,,,,,,,
Sessions,57,,,,,,,,,,,,,,,,,,
Excerpts,5,,,,,,,,,,,,,,,,,,
Tags applied,686,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,58:38,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
22,03/02/2016,2016-02-03 Pesalo Reading Rude Awakenings by Ajahn Sucitto.mp3,40:47,,Rude Awakenings,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-02-03%20Pesalo%20Reading%20Rude%20Awakenings%20by%20Ajahn%20Sucitto.mp3,6,,,,,2447,,,,,,,
23,04/02/2016,2016-02-04 Suhajjo Reading Self by Ajahn Pannavaddho.mp3,23:38,AP,Self,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-02-04%20Suhajjo%20Reading%20Self%20by%20Ajahn%20Pannavaddho.mp3,3,,,,,1418,,,,,,,
24,05/02/2016,2016-02-05 Khantiko Reading Attammayata by Ajahn Pasanno and Ajahn Amaro.mp3,43:48,AP,Attammayata,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-02-05%20Khantiko%20Reading%20Attammayata%20by%20Ajahn%20Pasanno%20and%20Ajahn%20Amaro.mp3,4,,,,,2628,,,,,,,
25,09/02/2016,2016-02-09 Gambhiro Reading Body by Ajahn Pannavaddho.mp3,29:55,AP,Body,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-02-09%20Gambhiro%20Reading%20Body%20by%20Ajahn%20Pannavaddho.mp3,6,,,,,1795,,,,,,,
26,10/02/2016,2016-02-10 Kondanno Reading Five Piles of Bricks the Khandas as Burden and Path by Ajahn Thanissaro.mp3,28:34,AP,Five Piles of Bricks: the Khandas as Burden and Path,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-02-10%20Kondanno%20Reading%20Five%20Piles%20of%20Bricks%20the%20Khandas%20as%20Burden%20and%20Path%20by%20Ajahn%20Thanissaro.mp3,8,,,,,1714,,,,,,,
27,11/02/2016,2016-02-11 Jagaro Reading Happiness Forever Patience All the Time in the World by Ajahn Sumedho.mp3,24:54,AP,Happiness Forever; Patience; All the Time in the World,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-02-11%20Jagaro%20Reading%20Happiness%20Forever%20Patience%20All%20the%20Time%20in%20the%20World%20by%20Ajahn%20Sumedho.mp3,5,,,,,1494,,,,,,,
28,12/02/2016,2016-02-12 Armand Reading In The Mood Imagine by Ajahn Thanissaro.mp3,31:00,AP,In The Mood; Imagine,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-02-12%20Armand%20Reading%20In%20The%20Mood%20Imagine%20by%20Ajahn%20Thanissaro.mp3,4,,,,,1860,,,,,,,
29,14/02/2016,2016-02-14 Debbie Reading Reflecting On Beauty And Disappointment by Ajahn Viradhammo.mp3,27:49,,Reflecting On Beauty And Disappointment,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-02-14%20Debbie%20Reading%20Reflecting%20On%20Beauty%20And%20Disappointment%20by%20Ajahn%20Viradhammo.mp3,1,,,,,1669,,,,,,,
30,17/02/2016,2016-02-17 Beth Reading The One Who Knows by Ajahn Kalyano.mp3,25:35,,The One Who Knows,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-02-17%20Beth%20Reading%20The%20One%20Who%20Knows%20by%20Ajahn%20Kalyano.mp3,1,,,,,1535,,,,,,,
31,18/02/2016,2016-02-18 AJ Reading Alone Together by Ajahn Munindo.mp3,30:48,AP,Alone Together,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-02-18%20AJ%20Reading%20Alone%20Together%20by%20Ajahn%20Munindo.mp3,4,,,,Yes,1848,,,,,,,
32,19/02/2016,2016-02-19 AN Reading Identity by Ajahn Sumedho.mp3,26:15,AP,Identity,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-02-19%20AN%20Reading%20Identity%20by%20Ajahn%20Sumedho.mp3,2,Self-identity view,,,,1575,,,,,,,
33,21/02/2016,2016-02-21 Jivako Reading Memory by Ajahn Pannavaddho.mp3,24:35,,Memory,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-02-21%20Jivako%20Reading%20Memory%20by%20Ajahn%20Pannavaddho.mp3,2,Memory,,,,1475,,,,,,,
34,24/02/2016,2016-02-24 Kassapo Reading Why am I Talking by Ajahn Amaro.mp3,10:25,,Why am I Talking?,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-02-24%20Kassapo%20Reading%20Why%20am%20I%20Talking%20by%20Ajahn%20Amaro.mp3,2,Right Speech,,,,625,,,,,,,
35,25/02/2016,2016-02-25 Kaccana Reading The Wisdom of the Ego by Ajahn Thanissaro.mp3,35:48,AP,The Wisdom of the Ego,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-02-25%20Kaccana%20Reading%20The%20Wisdom%20of%20the%20Ego%20by%20Ajahn%20Thanissaro.mp3,7,,,,,2148,,,,,,,
36,26/02/2016,2016-02-26 Pesalo Reading The Deathless Drum by Ajahn Sucitto.mp3,30:43,AP,The Deathless Drum,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-02-26%20Pesalo%20Reading%20The%20Deathless%20Drum%20by%20Ajahn%20Sucitto.mp3,3,,,,,1843,,,,,,,
37,28/02/2016,2016-02-28 Suhajjo Reading Feeling by Ajahn Pannavaddho.mp3,31:13,AP,Feeling,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-02-28%20Suhajjo%20Reading%20Feeling%20by%20Ajahn%20Pannavaddho.mp3,4,,,,,1873,,,,,,,
38,29/02/2016,2016-02-29 Gambhiro Reading Citta by Ajahn Pannavaddho.mp3,37:19,AP,Citta,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-02-29%20Gambhiro%20Reading%20Citta%20by%20Ajahn%20Pannavaddho.mp3,6,,,,,2239,,,,,,,
39,03/03/2016,2016-03-03 Kondanno Reading The Skill Of Restraint Two Analogies by Ajahn Thanissaro.mp3,46:25,AP,The Skill Of Restraint; Two Analogies,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-03-03%20Kondanno%20Reading%20The%20Skill%20Of%20Restraint%20Two%20Analogies%20by%20Ajahn%20Thanissaro.mp3,6,,,,,2785,,,,,,,
40,04/03/2016,2016-03-04 Jagaro Reading Trusting In Wholesome Intentions by Ajahn Sumedho.mp3,39:04,AP,Trusting In Wholesome Intentions,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-03-04%20Jagaro%20Reading%20Trusting%20In%20Wholesome%20Intentions%20by%20Ajahn%20Sumedho.mp3,5,,,,,2344,,,,,,,
41,06/03/2016,2016-03-06 Armand Reading Realizing Cessation by Ajahn Amaro.mp3,3:01,,Realizing Cessation,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-03-06%20Armand%20Reading%20Realizing%20Cessation%20by%20Ajahn%20Amaro.mp3,2,,,,Yes,181,,,,,,,
