Modified:,2026,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Thanksgiving Retreat 2011,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,TG2011,,,,,,,,,,,,,,,,,,
Series,Thanksgiving Retreats,,,,,,,,,,,,,,,,,,
Venue,Angela Center,,,,,,,,,,,,,,,,,,
Teachers,AP;AY;AKd;DS,,,,,,,,,,,,,,,,,,
Start date,18/11/2011,,,,,,,,,,,,,,,,,,
End date,27/11/2011,,,,,,,,,,,,,,,,,,
Format,Multiday event,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,
Tags,,,,,,,,,,,,,,,,,,,
Website,,,,,,,,,,,,,,,,,,,
Description,A classic ten-day Thanksgiving Retreat held at the Angela Center.,,,,,,,,,,,,,,,,,,
Sessions,8,,,,,,,,,,,,,,,,,,
Excerpts,192,,,,,,,,,,,,,,,,,,
Tags applied,1235,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,6:39:00,,,,,,,,,,,,,,,,,,
4,,,0:20,,What was that onomatopoeic word you mentioned? What does it mean?,,Language,Pāli,,,Doubt,Restlessness and worry,,,,,,,
4,,,0:52.5,,I understand that you recently read Ajahn Geoff's wonderful new book [Skill in Questions](Skill in Questions). Might you share an insight that struck a fresh cord in your heart?,,Ajahn Ṭhānissaro,Dhamma books,,,Questions,Doubt,,,,,,Ajahn Ṭhānissaro,140
4,Cut audio,,1:35,1:38,,,,,,,,,,,,,,,
4,,,2:23,3:49.5,"It seems that the mind and body are unreliable, not good refuges, yet everything about the Buddha, Dhamma, and Saṅgha relies upon the mind training---refining, watching, letting go. It sounds like it still relies on the mind. What am I missing?",,Aggregates,Three Refuges,Meditation,,Discernment,,,,,,,Three Refuges,200
4,Sutta,,,,"SN 15.1: ""Bound by ignorance and obstructed by craving.""",,Ignorance,Craving,,,,,,,,,,,
4,,,3:51.3,5:03,"What are mind-conditioners (e.g. MN 44.13, MN 118.19)? Are they feelings, habits, or something else?",,Heart/mind,Volitional formations,Feeling,Habits,Pāli,Perception,,,,,,,
4,,,5:03.5,,"While doing walking meditation today, a pleasurable sensation started unfolding in my body. When my mind reacted, it vanished. When mindfulness was reestablished, it recurred. This time I tried to lean into and investigate, and it similarly fizzled. How should I skillfully work with this?",,Posture/Walking,Happiness,Conditionality,,Continuity of mindfulness,Clinging,,,,,,,
4,,,7:45,,"When meditation is strong, awareness automatically falls upon the object, and both melt away quickly. However, sometimes hindrances cloud the mind, and the mind wanders. Is it best to develop more concentration? I've been experimenting with breath sensations.",,Hindrances,Proliferation,Concentration,Mindfulness of breathing,Investigation of states,,,,,,,,
4,Sutta,,,,AN 4.170: In Conjunction.,,,,,,,,,,,,,,
4,,,10:04,11:35,What is the most skillful thing to do when we can feel that there are a lot of blockages around the various energy centers in our body?,,Body/form,,,,Mindfulness of breathing,,,,,,,,
4,,,11:36,12:01,Are the Dhamma talks being taped for CDs or audio downloads on the internet?,,Dhamma recordings,,,,,,,,,,,,
4,,,12:03,,"If Ajahn Pasanno could go back in time and give a word of advice to Ven. Pasanno on the day of his ordination, what would he say?",,Ajahn Pasanno,Ordination,,,Questions,Ajahn Chah,Sickness,,,,,Questions,200T
4,,,13:32,16:07,Could you explain the role of enjoyment within the context of taking food with the purpose of nourishment?,,Food,Sensual desire,Happiness,,Cultural context,,,,,,,,
4,Vinaya,,,,Kd 15.31: The Buddha allows toothwoods and explains that using toothwoods makes you enjoy your food.,,Vinaya,Cleanliness,Food,Benefit/gratification,,,,,,,,,
4,,,16:08,18:05,Can you review the 16 steps of mindfulness of breathing (MN 118.15)?,,Mindfulness of breathing,,,,Right Mindfulness,Mindfulness of body,Tranquility,,,,,,
4,,,18:37,20:01,I often find myself wondering if it is equanimity or indifference I'm experiencing. Could you please enlighten me?,,Equanimity,,,,Skillful qualities,Unskillful qualities,Happiness,Mindfulness,,,,Equanimity,99H
4,,,20:02,22:47,Is there a chant or a few lines that you can suggest to provide a smooth transitional bridge from chanting something such as Salutation to the Triple Gem (Chanting Book p. 9) into meditating on the breath? I feel disconnected: inspired by the meaning of the chant and then suddenly I'm focusing on my breath. Did the Buddha have a few powerful verses reminding us of the power of breath meditation?,,Chanting,Mindfulness of breathing,,,Three Refuges,Recollection/Buddha,Impermanence,Ajahn Pasanno,Pāli,,,Chanting,110
4,Extra tags,,,,,,,,,,Memory,Dhamma online,,,,,,,
4,Sutta,,,,MN 118.15: 16 steps of mindfulness of breathing; Chanting Book p. 85 has both Pāli and English.,,,,,,,,,,,,,,
4,,,22:48,24:28,Are transitions from stream entry to once-returner and once-returner to non-returner subtle or are there strong insight experiences? Will one be able to tell if he or she has moved to the next stage?,,Stream entry,Once return,Non-return,,Delusion,,,,,,,,
4,,,24:29,,"If weeping starts to happen while sitting, is it best to leave the hall or okay if some sound happens while in the group?",,Grief,Posture/Sitting,Meditation retreats,,,,,,,,,,
4,,,25:58,,I've been feeling a large space/awareness in my body and in my head. I feel the outline of my form. What is a skillful way to deepen this place?,,Spaciousness,,,,Mindfulness,Tranquility,Mindfulness of breathing,Mindfulness of body,Knowing itself,,,Spaciousness,100
4,,,28:40,30:53,"Can you elaborate on how to bring practice within the daily life setting? Even here, I feel I can walk around within my own bubble with my attention mostly focused inwardly. Can you describe how practice works when attention needs to be engaged in the fast-paced external world?",,Everyday life,Meditation retreats,Pace of life,,Mindfulness of body,Contact,,,,,,Everyday life,87
4,,,30:55,34:44,"Can you recommend any particular books which share the teachings of the Buddha in more user-friendly ways---'Dhamma for Dummies'? I found the readings from the discourses/Canon repetitive and hard to relate to, yet you share so many Dhamma tidbits that are captivating and memorable.",AP;AKd;AY,Dhamma books,Tipiṭaka,Teaching Dhamma,,Bhikkhu Bodhi,,,,,,,Dhamma books,120
4,Reference,,,,_Eight Mindful Steps to Happiness_ by Bhante Gunaratana (commercial).,,Eightfold Path,,,,,,,,,,,,
4,Reference,,,,_In the Buddha's Words_ by Bhikkhu Bodhi (commercial).,,Sutta,,,,,,,,,,,,
4,Reference,,,,[Life of the Buddha]().,,Buddha/Biography,,,,,,,,,,,,
