Modified:,2025,,,,,,,,
Full Name,Alphabetize,Alphabetize2,Sort by,Exact date,Known month,Known year,Estimated year,Tweak,Duplicate
Kittisaro,,,1953.18,,,,1953,,
Ṭhānissarā,,,1955.18,,,,1955,,
,,,,,,,,,
,,,,,,,,,
King Bhumibol Adulyadej (Rama IX),,,1927.339,5 December 1927,,,,,
Community of Abhayagiri Lay Ministers,,,2001.18,,,2001,,,
Saṅghapāla Foundation,,,1998.35,,Dec. 1998,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Wat Nong Pah Pong,,,1954.18,,,1954,,,
Wat Phu Din Dang,,,1971.18,,,,1971,,
Wat Tam Saeng Pet,,,1969.18,,,1969,,,
Wat Keuan,,,1970.18,,,1970,,,
Wat Fah Krahm,,,1981.18,,,,1981,,
Wat Pah Nanachat,,,1975.18,,,1975,,,
Dtao Dtum Monastery,,,1989.18,,,,1989,,
Poo Jum Gom Monastery,,,1990.18,,,1990,,,
Anandagiri Monastery,,,2008.18,,,,2008,,
Wat Pah Supattaram,,,1971.18,,,,1971,,
Wat Phleng Vipassanā,,,1750.18,,,,1750,,
,,,,,,,,,
Elders' Council monasteries,,,1979.18,,,1979,,,
Cittaviveka Monastery,,,1979.18,,,1979,,,
Amaravati Monastery,,,1984.18,,,1984,,,
Aruna Ratanagiri Monastery,,,1981.18,,,1981,,,
Tisarana Monastery,,,2006.18,,,2006,,,
Kloster Dhammapala,"Dhammapala, Kloster",,1992.18,,,1992,,,
Temple Forest Monastery,,,2014.182,1 July 2014,,,,,
Abhayagiri Monastery,,,1996.156,4 June 1996,,,,,
Pacific Hermitage,,,2010.18,,,2010,,,
Arrow River Forest Hermitage,,,1979.32,,Nov. 1979,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Wat Pahk Kut Wai,,,1900.18,,,1900,,,
Wat Khao Wongkot,,,1940.18,,,,1940,,
Wat Pah Ban Tat,,,1955.18,,,1955,,,
Wat Buridat,,,1986.18,,,,1986,,
Wat Asokaram,,,1962.128,May 8 1962,,,,,
Wat Metta,,,1990.18,,,1990,,,
Wat Suan Mokkh,,,1932.18,,,1932,,,
Wat Burapha,,,1890.18,,,,1890,,
Wat Pah Boon Lorm,,,1985.18,,,,1985,,
,,,,,,,,,
Wat Ram Poeng,,,1942.18,,,1942,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Abhayagiri Monastery (Sri Lanka),,,-149.82,,,,-150,,
,,,,,,,,,
Three Conditions Monastery,,,1933.18,,,1933,,,
City of Ten Thousand Buddhas,,,1974.18,,,1974,,,
Gold Mountain Monastery,,,1970.18,,,1970,,,
,,,,,,,,,
Dhammadharini Monastery,,,2005.228,,August 2005,,,,
Aranya Bodhi Hermitage,,,2009.18,,,2009,,,
Karuna Buddhist Vihara,,,2012.18,,,2012,,,
,,,,,,,,,
,,,,,,,,,
Insight Meditation Society,,,1975.18,,,1975,,,
Spirit Rock Meditation Center,,,1985.18,,,1985,,,
Panyaprateep School,,,2005.18,,,,2005,,
Manjushri Institute,,,1976.18,,,1976,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ajahn Chah lineage,Ajahn Chah lineage,,,,,,,,
Ajahn Chah Remembrance Day,Ajahn Chah Remembrance Day,,,,,,,,
Ajahn Chah monasteries,Ajahn Chah monasteries,,,,,,,,
