Modified:,2025,,,,,,,,,,,
Key,Value,,,,,,,,,,,
Title,Readings from <i>The Island</i>,,,,,,,,,,,
Subtitle,Winter Retreat 2025 at Amaravati,,,,,,,,,,,
Code,WR2025,,,,,,,,,,,
Series,Winter Retreats,,,,,,,,,,,
Venue,Amaravati Buddhist Monastery,,,,,,,,,,,
Teachers,AP;AA,,,,,,,,,,,
Start date,05/01/2025,,,,,,,,,,,
End date,07/02/2025,,,,,,,,,,,
Format,Multiday event,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,
Tags,Nibbāna,,,,,,,,,,,
Website,https://amaravati.org/dhamma-audio-library/?wpv-category=audio&wpv-fpmtp_series=the-island-2025&wpv_aux_current_post_id=29850&wpv_aux_parent_post_id=29850&wpv_view_count=29392,,,,,,,,,,,
Description,"Ajahn Pasanno stayed at Amaravati Monastery during much of 2025 to assist during Ajahn Amaro's sabbatical year. Before the sabbatical began, they took turns reading from [_The Island_](The Island p. 1), which they co-authored in 2009. ",,,,,,,,,,,
Sessions,47,,,,,,,,,,,
Excerpts,0,,,,,,,,,,,
Tags applied,1084,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,
Duration,36:38:44,,,,,,,,,,,
<---->,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds
26,15/02/2025,2025_0215.mp3,41:24,AP,Practices and Perspectives I – Part 5,,,,,,,2484
27,16/02/2025,2025_0216.mp3,43:34,AP,Practices and Perspectives I – Part 6,,,,,,,2614
28,17/02/2025,2025_0217.mp3,43:18,AP,Practices and Perspectives I – Part 7,,,,,,,2598
29,18/02/2025,2025_0218.mp3,44:45,AP,Practices and Perspectives II – Part 1,,,,,,,2685
30,19/02/2025,2025_0219.mp3,46:46,AP,Practices and Perspectives II – Part 2,,,,,,,2806
31,22/02/2025,2025_0222.mp3,48:18,AP,Practices and Perspectives II – Part 3,,,,,,,2898
32,24/02/2025,,,AP,Practices and Perspectives II – Part 4,,,,,,,
33,25/02/2025,2025_0225.mp3,56:01,AP,Practices and Perspectives II – Part 5,,,,,,,3361
34,28/02/2025,2025_0228.mp3,44:57,AP,Practices and Perspectives II – Part 6,,,,,,,2697
35,02/03/2025,2025_0302.mp3,54:37,AA,Attamayatā: “Not Made of That” – Part 1,,,,,,,3277
36,03/03/2025,2025_0303.mp3,49:20,AA,Attamayatā: “Not Made of That” – Part 2; Attending to the  Deathless – Part 1,,,,,,,2960
37,04/03/2025,2025_0304.mp3,56:27,AA,Attending to the  Deathless – Part 2,,,,,,,3387
38,05/03/2025,2025_0305.mp3,55:27,AA,Unsupported and Unsupportive Consciousness – Part 1,,,,,,,3327
39,08/03/2025,2025_0308.mp3,50:05,AA,Unsupported and Unsupportive Consciousness – Part 2,,,,,,,3005
40,09/03/2025,2025_0309.mp3,50:10,AA,Unsupported and Unsupportive Consciousness – Part 3,,,,,,,3010
41,10/03/2025,2025_0310.mp3,49:43,AA,Unsupported and Unsupportive Consciousness – Part 4,,,,,,,2983
42,11/03/2025,2025_0311.mp3,48:48,AA,Unsupported and Unsupportive Consciousness – Part 5,,,,,,,2928
43,12/03/2025,2025_0312.mp3,49:30,AA,Unsupported and Unsupportive Consciousness – Part 6,,,,,,,2970
44,15/03/2025,2025_0315.mp3,48:06,AA,Unsupported and Unsupportive Consciousness – Part 7; The Unconditioned and Non-locality – Part 1,,,,,,,2886
45,16/03/2025,2025_0316.mp3,49:42,AA,The Unconditioned and Non-locality – Part 2,,,,,,,2982
46,17/03/2025,,,AP,Practices and Perspectives III – Part 1,,,,,,,
47,18/03/2025,2025_0318.mp3,47:08,AP,Practices and Perspectives III – Part 2,,,,,,,2828
