Total,,,383,2962,2465,16987,0,266:34:48,,
Event Code,Start date,Teachers,Sessions,Excerpts,Answers listened to,Tags applied,Invalid tags,Duration,Seconds,SortBy
Subtopic,666629392,08/11/2025 12:22:15,,,,,,,,
Dispatch,1083229609,08/11/2025 12:22:13,,,,,,,,
Category,55502448,08/11/2025 12:22:15,,,,,,,,
Text,626128067,08/11/2025 12:22:16,,,,,,,,
TextLink,1361600553,08/11/2025 12:22:11,,,,,,,,
Reference,690287170,08/11/2025 12:22:11,,,,,,,,
Series,1180737050,08/11/2025 12:22:15,,,,,,,,
Venue,360487786,08/11/2025 12:22:12,,,,,,,,
Prefix,1462245420,08/11/2025 12:22:15,,,,,,,,
Name,738615753,08/11/2025 12:22:12,,,,,,,,
_AllNames,1522976681,08/11/2025 13:07:58,,,,,,,,
Teacher,0,08/11/2025 13:08:10,,,,,,,,
_PaliNames,1253977698,,,,,,,,,
Group,1466838118,08/11/2025 12:22:13,,,,,,,,
Lineage,1822532160,08/11/2025 12:22:16,,,,,,,,
Format,1220592940,08/11/2025 12:22:15,,,,,,,,
Medium,1998164715,08/11/2025 12:22:14,,,,,,,,
Redirect,104214015,08/11/2025 12:22:14,,,,,,,,
_UtilitySheet,441095714,,,,,,,,,
