3,10/01/2013,AP_01_10_2013_Winter_Retreat_Relinquishing_the_Hindrances.mp3,28:30,AP,Relinquishing the Hindrances,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_01_10_2013_Winter_Retreat_Relinquishing_the_Hindrances.mp3,1,,,,,1710
4,13/01/2013,AP_01_13_2013_Winter_Retreat_Carefully_Attending_to_the_Object.mp3,31:28,AP,Carefully Attending to the Object,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_01_13_2013_Winter_Retreat_Carefully_Attending_to_the_Object.mp3,1,,,,,1888
5,14/01/2013,AP_01_14_2013_Winter_Retreat_Practicing_in_Accordance_with_Dhamma.mp3,23:58,AP,Practicing in Accordance with Dhamma,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_01_14_2013_Winter_Retreat_Practicing_in_Accordance_with_Dhamma.mp3,3,,,,,1438
6,15/01/2013,AP_01_15_2013_Winter_Retreat_Mindfulness_Directed_at_the_Body.mp3,27:10,AP,Mindfulness Directed at the Body,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_01_15_2013_Winter_Retreat_Mindfulness_Directed_at_the_Body.mp3,1,,,,,1630
7,16/01/2013,AP_01_16_2013_Winter_Retreat_Readings-Ajahn_Chah_Day.mp3,44:22,AP,Readings on Ajahn Chah Day,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_01_16_2013_Winter_Retreat_Readings-Ajahn_Chah_Day.mp3,1,,,,,2662
8,17/01/2013,AP_01_17_2013_Winter_Retreat_Kor_Wat_as_a_Basis_for_Practice.mp3,38:57,AP,Kor Wat as a Basis for Practice,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_01_17_2013_Winter_Retreat_Kor_Wat_as_a_Basis_for_Practice.mp3,1,,,,,2337
9,18/01/2013,AP_01_18_2013_Winter_Retreat_The_Four_Noble_Truths.mp3,31:54,AP,The Four Noble Truths,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_01_18_2013_Winter_Retreat_The_Four_Noble_Truths.mp3,1,,,,,1914
10,21/01/2013,AP_01_21_2013_Winter_Retreat_QA_2.mp3,30:16,AP,Question and Answer 2,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_01_21_2013_Winter_Retreat_QA_2.mp3,3,,,,,1816
11,22/01/2013,AP_01_22_2013_Winter_Retreat_Readings-Satipatthana_Overview.mp3,33:18,AP,Satipaṭṭhana Overview Readings,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_01_22_2013_Winter_Retreat_Readings-Satipatthana_Overview.mp3,3,,,,,1998
12,23/01/2013,AP_01_23_2013_Winter_Retreat_Readings-The_Five_Hindrances_1.mp3,46:04,AP,The Five Hindrances 1,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_01_23_2013_Winter_Retreat_Readings-The_Five_Hindrances_1.mp3,3,,,,,2764
13,24/01/2013,AP_01_24_2013_Winter_Retreat_Readings-The_Five_Hindrances_2.mp3,36:23,AP,The Five Hindrances 2,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_01_24_2013_Winter_Retreat_Readings-The_Five_Hindrances_2.mp3,6,Hindrances,Factors of Awakening,,,2183
14,25/01/2013,AP_01_25_2013_Winter_Retreat_Readings-The_Five_Hindrances_3.mp3,32:13,AP,The Five Hindrances 3,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_01_25_2013_Winter_Retreat_Readings-The_Five_Hindrances_3.mp3,1,,,,,1933
15,28/01/2013,AP_01_28_2013_Winter_Retreat_Readings-The_Five_Hindrances_4.mp3,37:18,AP,The Five Hindrances 4,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_01_28_2013_Winter_Retreat_Readings-The_Five_Hindrances_4.mp3,1,,,,,2238
16,29/01/2013,AP_01_29_2013_Winter_Retreat_Readings-The_Five_Hindrances_5.mp3,26:32,AP,The Five Hindrances 5,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_01_29_2013_Winter_Retreat_Readings-The_Five_Hindrances_5.mp3,1,,,,,1592
17,30/01/2013,AP_01_30_2013_Winter_Retreat_Readings-The_Five_Hindrances_6.mp3,44:15,AP,The Five Hindrances 6,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_01_30_2013_Winter_Retreat_Readings-The_Five_Hindrances_6.mp3,1,,,,,2655
18,31/01/2013,AP_01_31_2013_Winter_Retreat_Readings-The_Five_Hindrances_7.mp3,32:22,AP,The Five Hindrances 7,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_01_31_2013_Winter_Retreat_Readings-The_Five_Hindrances_7.mp3,1,,,,,1942
19,01/02/2013,AP_02_01_2013_Winter_Retreat_Readings-The_Five_Hindrances_8.mp3,28:11,AP,The Five Hindrances 8,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_02_01_2013_Winter_Retreat_Readings-The_Five_Hindrances_8.mp3,1,,,,,1691
20,02/02/2013,AP_02_02_2013_Winter_Retreat_Readings-The_Five_Hindrances_9.mp3,51:16,AP,The Five Hindrances 9,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_02_02_2013_Winter_Retreat_Readings-The_Five_Hindrances_9.mp3,1,,,,,3076
21,05/02/2013,AP_02_05_2013_Winter_Retreat_Readings-The_Five_Khandhas_1.mp3,40:21,AP,The Five Khandhas 1,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_02_05_2013_Winter_Retreat_Readings-The_Five_Khandhas_1.mp3,1,,,,,2421
22,06/02/2013,AP_02_06_2013_Winter_Retreat_Readings-The_Five_Khandhas_2.mp3,29:03,AP,The Five Khandhas 2,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_02_06_2013_Winter_Retreat_Readings-The_Five_Khandhas_2.mp3,1,,,,,1743
23,07/02/2013,AP_02_07_2013_Winter_Retreat_Readings-The_Five_Khandhas_3.mp3,27:47,AP,The Five Khandhas 3,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_02_07_2013_Winter_Retreat_Readings-The_Five_Khandhas_3.mp3,1,,,,,1667
24,08/02/2013,AP_02_08_2013_Winter_Retreat_Readings-The_Five_Khandhas_4.mp3,34:14,AP,The Five Khandhas 4,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_02_08_2013_Winter_Retreat_Readings-The_Five_Khandhas_4.mp3,1,,,,,2054
25,09/02/2013,AP_02_09_2013_Winter_Retreat_Readings-The_Five_Khandhas_5.mp3,43:06,AP,The Five Khandhas 5,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_02_09_2013_Winter_Retreat_Readings-The_Five_Khandhas_5.mp3,1,,,,,2586
26,12/02/2013,AKd_02_12_2013_Winter_Retreat_Readings-The_Five_Khandhas_6.mp3,26:36,AKd,The Five Khandhas 6,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AKd_02_12_2013_Winter_Retreat_Readings-The_Five_Khandhas_6.mp3,1,,,,,1596
27,13/02/2013,AKd_02_13_2013_Winter_Retreat_Readings-The_Five_Khandhas_7.mp3,28:22,AKd,The Five Khandhas 7,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AKd_02_13_2013_Winter_Retreat_Readings-The_Five_Khandhas_7.mp3,1,,,,,1702
28,04/02/2013,AKd_02_14_2013_Winter_Retreat_Readings-The_Five_Khandhas_8.mp3,27:56,AKd,The Five Khandhas 8,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AKd_02_14_2013_Winter_Retreat_Readings-The_Five_Khandhas_8.mp3,1,,,,,1676
29,15/02/2013,AKd_02_15_2013_Winter_Retreat_Readings-The_Five_Khandhas_9.mp3,29:54,AKd,The Five Khandhas 9,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AKd_02_15_2013_Winter_Retreat_Readings-The_Five_Khandhas_9.mp3,1,,,,,1794
30,17/02/2013,AKd_02_17_2013_Winter_Retreat_Readings-The_Five_Khandhas_10.mp3,41:47,AKd,The Five Khandhas 10,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AKd_02_17_2013_Winter_Retreat_Readings-The_Five_Khandhas_10.mp3,1,,,,,2507
31,20/02/2013,AKd_02_20_2013_Winter_Retreat_Readings-The_Five_Khandhas_11.mp3,24:46,AKd,The Five Khandhas 11,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AKd_02_20_2013_Winter_Retreat_Readings-The_Five_Khandhas_11.mp3,1,,,,,1486
32,21/02/2013,AKd_02_21_2013_Winter_Retreat_Readings-The_Five_Khandhas_12.mp3,27:49,AKd,The Five Khandhas 12,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AKd_02_21_2013_Winter_Retreat_Readings-The_Five_Khandhas_12.mp3,1,,,,,1669
33,22/02/2013,AKd_02_22_2013_Winter_Retreat_Readings-The_Five_Khandhas_13.mp3,37:19,AKd,The Five Khandhas 13,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AKd_02_22_2013_Winter_Retreat_Readings-The_Five_Khandhas_13.mp3,1,,,,,2239
34,24/02/2013,AKd_02_24_2013_Winter_Retreat_Readings-The_Five_Khandhas_14.mp3,24:39,AKd,The Five Khandhas 14,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AKd_02_24_2013_Winter_Retreat_Readings-The_Five_Khandhas_14.mp3,1,,,,,1479
35,27/02/2013,AP_02_27_2013_Winter_Retreat_Readings-The_Five_Khandhas_15.mp3,37:04,AP,The Five Khandhas 15,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_02_27_2013_Winter_Retreat_Readings-The_Five_Khandhas_15.mp3,1,,,,,2224
36,28/02/2013,AP_02_28_2013_Winter_Retreat_Readings-The_Five_Khandhas_16.mp3,37:16,AP,The Five Khandhas 16,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_02_28_2013_Winter_Retreat_Readings-The_Five_Khandhas_16.mp3,1,,,,,2236
37,01/03/2013,AP_03_01_2013_Winter_Retreat_Readings-The_Six_Sense_Bases_1.mp3,32:58,AP,The Six Sense Bases 1,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_03_01_2013_Winter_Retreat_Readings-The_Six_Sense_Bases_1.mp3,1,,,,,1978
38,02/03/2013,AP_03_02_2013_Winter_Retreat_Readings-The_Six_Sense_Bases_2.mp3,30:10,AP,The Six Sense Bases 2,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_03_02_2013_Winter_Retreat_Readings-The_Six_Sense_Bases_2.mp3,1,,,,,1810
39,03/03/2013,AP_03_03_2013_Winter_Retreat_Readings-The_Six_Sense_Bases_3.mp3,32:23,AP,The Six Sense Bases 3,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_03_03_2013_Winter_Retreat_Readings-The_Six_Sense_Bases_3.mp3,1,,,,,1943
40,04/03/2013,AP_03_04_2013_Winter_Retreat_Readings-The_Six_Sense_Bases_4.mp3,36:09,AP,The Six Sense Bases 4,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_03_04_2013_Winter_Retreat_Readings-The_Six_Sense_Bases_4.mp3,1,,,,,2169
41,07/03/2013,AP_03_07_2013_Winter_Retreat_Readings-The_Six_Sense_Bases_5.mp3,38:04,AP,The Six Sense Bases 5,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_03_07_2013_Winter_Retreat_Readings-The_Six_Sense_Bases_5.mp3,1,,,,,2284
42,08/03/2013,AP_03_08_2013_Winter_Retreat_Readings-The_Six_Sense_Bases_6.mp3,30:42,AP,The Six Sense Bases 6,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_03_08_2013_Winter_Retreat_Readings-The_Six_Sense_Bases_6.mp3,1,,,,,1842
43,09/03/2013,AP_03_09_2013_Winter_Retreat_Readings-The_Six_Sense_Bases_7.mp3,32:54,AP,The Six Sense Bases 7,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_03_09_2013_Winter_Retreat_Readings-The_Six_Sense_Bases_7.mp3,1,,,,,1974
44,10/03/2013,AP_03_10_2013_Winter_Retreat_Readings-The_Six_Sense_Bases_8.mp3,35:55,AP,The Six Sense Bases 8,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_03_10_2013_Winter_Retreat_Readings-The_Six_Sense_Bases_8.mp3,1,,,,,2155
45,13/03/2013,AJ_03_13_2013_Winter_Retreat_Readings-The_Seven_Factors_of_Enlightenment_1.mp3,31:19,AJoti,The Seven Factors of Enlightenment 1,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AJ_03_13_2013_Winter_Retreat_Readings-The_Seven_Factors_of_Enlightenment_1.mp3,1,,,,,1879
46,14/03/2013,AJ_03_14_2013_Winter_Retreat_Readings-The_Seven_Factors_of_Enlightenment_2.mp3,28:42,AJoti,The Seven Factors of Enlightenment 2,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AJ_03_14_2013_Winter_Retreat_Readings-The_Seven_Factors_of_Enlightenment_2.mp3,1,,,,,1722
47,15/03/2013,AJ_03_15_2013_Winter_Retreat_Readings-The_Seven_Factors_of_Enlightenment_3.mp3,31:02,AJoti,The Seven Factors of Enlightenment 3,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AJ_03_15_2013_Winter_Retreat_Readings-The_Seven_Factors_of_Enlightenment_3.mp3,1,,,,,1862
48,16/03/2013,AJ_03_16_2013_Winter_Retreat_Readings-The_Seven_Factors_of_Enlightenment_4.mp3,30:57,AJoti,The Seven Factors of Enlightenment 4,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AJ_03_16_2013_Winter_Retreat_Readings-The_Seven_Factors_of_Enlightenment_4.mp3,1,,,,,1857
49,17/03/2013,AJ_03_17_2013_Winter_Retreat_Readings-The_Seven_Factors_of_Enlightenment_5.mp3,27:03,AJoti,The Seven Factors of Enlightenment 5,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AJ_03_17_2013_Winter_Retreat_Readings-The_Seven_Factors_of_Enlightenment_5.mp3,1,,,,,1623
50,18/03/2013,AJ_03_18_2013_Winter_Retreat_Readings-The_Seven_Factors_of_Enlightenment_6.mp3,29:32,AJoti,The Seven Factors of Enlightenment 6,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AJ_03_18_2013_Winter_Retreat_Readings-The_Seven_Factors_of_Enlightenment_6.mp3,1,,,,,1772
51,21/03/2013,AKd_03_21_2013_Winter_Retreat_Readings-The_Four_Noble_Truths_1.mp3,29:57,AKd,The Four Noble Truths 1,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AKd_03_21_2013_Winter_Retreat_Readings-The_Four_Noble_Truths_1.mp3,1,,,,,1797
52,22/03/2013,AKd_03_22_2013_Winter_Retreat_Readings-The_Four_Noble_Truths_2.mp3,33:23,AKd,The Four Noble Truths 2,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AKd_03_22_2013_Winter_Retreat_Readings-The_Four_Noble_Truths_2.mp3,1,,,,,2003
53,24/03/2013,AKd_03_24_2013_Winter_Retreat_Readings-The_Four_Noble_Truths_3.mp3,43:21,AKd,The Four Noble Truths 3,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AKd_03_24_2013_Winter_Retreat_Readings-The_Four_Noble_Truths_3.mp3,1,,,,,2601
54,25/03/2013,AKd_03_25_2013_Winter_Retreat_Readings-The_Four_Noble_Truths_4.mp3,47:26,AKd,The Four Noble Truths 4,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AKd_03_25_2013_Winter_Retreat_Readings-The_Four_Noble_Truths_4.mp3,1,,,,,2846
55,28/03/2013,AKd_03_28_2013_Winter_Retreat_Readings-The_Four_Noble_Truths_5.mp3,32:51,AKd,The Four Noble Truths 5,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AKd_03_28_2013_Winter_Retreat_Readings-The_Four_Noble_Truths_5.mp3,1,,,,,1971
